Det Noun Lemma UniFreq BigFreq BigSurp File Turn Start Stop LengthSeconds LengthOrth IU Speaker IUPos IU_len_words relative_IUPos IU_len_secs speech_rate unique_chunk_number POS newIUPos
some kind kind 151774 12824 2.47107415699 SBC056.trn 627 1764.437 1764.6370000000004 0.2 4 77443 JULIE 13 18 0.7222222222222221 3.2369999999998504 5.56070435588533 68872 NOUN 10.0
a break break 61919 9882 1.83511215886 SBC058.trn 400 1396.283 1396.703 0.42 5 80371 SHERI 6 6 1.0 1.23000000000002 4.87804878048773 71584 NOUN 5.0
a decision decision 43132 7151 1.79701297395 SBC041.trn 119 387.524 388.054 0.53 8 58221 KRISTIN 3 8 0.375 2.221 3.60198108959927 51030 NOUN 2.0
the sky sky 28364 18783 0.41216853001 SBC054.trn 38 471.63 472.41 0.78 3 74734 CYNTHIA 21 21 1.0 2.9800000000000204 7.046979865771768 66327 NOUN 6.0
some comment comment 15324 68 5.41766780064 SBC019.trn 95 181.095 182.125 1.03 7 27127 FRANK 3 3 1.0 1.398 2.14592274678112 22308 NOUN 2.0
a difference difference 45443 9316 1.58472544134 SBC032.trn 716 1042.891 1043.261 0.37 10 46044 TOM_2 16 17 0.941176470588235 1.82099999999991 9.3355299286111 39950 NOUN 15.0
the country country 165929 80418 0.724321954294 SBC030.trn 14 401.225 401.615 0.39 7 42684 DANNY 4 4 1.0 0.889999999999986 4.4943820224719815 36906 NOUN 3.0
this idea idea 86850 3331 3.26090993348 SBC026.trn 90 936.388 936.718 0.33 4 35491 DAN 3 6 0.5 1.59999999999991 3.7500000000002096 30124 NOUN 1.0
a spoon spoon 3809 958 1.38027418851 SBC037.trn 181 436.052 436.512 0.46 5 52629 SHANE 5 5 1.0 2.8600000000000096 1.74825174825174 45877 NOUN 4.0
the pits pit 711 347 0.717347649856 SBC001.trn 41 582.87 583.31 0.44 4 532 LYNNE 3 3 1.0 0.75 4.0 528 NOUN 2.0
a casting casting 2254 179 2.53307588876 SBC018.trn 25 156.22899999999996 156.839 0.61 7 26519 KRISTEN 3 6 0.5 0.974999999999994 6.15384615384619 21752 NOUN 2.0
this thing thing 180009 7893 3.12703055891 SBC007.trn 71 329.19 329.37 0.18 5 9075 ALICE 2 9 0.222222222222222 2.12 4.24528301886792 7853 NOUN 1.0
the bottom bottom 31938 25024 0.243961159056 SBC059.trn 959 1446.188 1446.678 0.49 6 82111 JO 9 9 1.0 1.84699999999998 4.87276664861944 73176 NOUN 8.0
the meat meat 13781 3630 1.33405818362 SBC037.trn 262 684.716 684.966 0.25 4 52771 DOLORES 12 12 1.0 1.39999999999998 8.57142857142871 46003 NOUN 10.0
a student student 56144 9506 1.77599664065 SBC034.trn 24 106.181 106.601 0.42 7 47554 KAREN 6 6 1.0 2.514 2.38663484486874 41275 NOUN 5.0
